Protein1,Protein2,SpearmanSimilarity
seq3139@10,seq9785@12,0.9272727272727272
seq3139@10,naive,0.9757575757575757
seq3139@10,seq997@4,0.6242424242424242
seq3139@10,seq10542@8,0.9151515151515152
seq3139@10,seq10631@9,0.9636363636363635
seq3139@10,seq12823@5,0.9272727272727272
seq3139@10,seq2703@7,0.9636363636363635
seq3139@10,seq5118@13,0.6242424242424242
seq3139@10,seq6355@32,0.9272727272727272
seq3139@10,seq581@9,0.9515151515151514
seq3139@10,seq876@29,0.9636363636363635
seq3139@10,seq2948@8,0.9636363636363635
seq3139@10,seq883@32,0.9636363636363635
seq3139@10,seq3216@7,0.9636363636363635
seq3139@10,seq2425@10,0.9636363636363635
seq3139@10,seq387@21,0.6969696969696969
seq3139@10,seq1882@7,0.9515151515151514
seq3139@10,seq648@7,0.9636363636363635
seq3139@10,seq1455@25,0.9515151515151514
seq3139@10,seq103@72,0.9151515151515152
seq3139@10,seq696@51,0.9515151515151514
seq3139@10,seq8992@44,0.6242424242424242
seq3139@10,seq3311@22,0.5878787878787878
seq3139@10,seq2110@21,0.9636363636363635
seq3139@10,seq5311@17,0.9636363636363635
seq3139@10,seq3430@16,0.9272727272727272
seq3139@10,seq1817@15,0.9515151515151514
seq3139@10,seq717@11,0.9636363636363635
seq3139@10,seq209@10,0.9636363636363635
seq3139@10,seq2243@10,0.9151515151515152
seq3139@10,seq17535@5,0.6242424242424242
seq3139@10,seq35708@5,0.9272727272727272
seq3139@10,seq12890@9,0.9272727272727272
seq3139@10,seq2@15214,0.8909090909090909
seq3139@10,seq190@254,0.9636363636363635
seq3139@10,seq313@187,0.9151515151515152
seq3139@10,seq4295@9,0.9636363636363635
seq3139@10,seq2604@4,0.9272727272727272
seq3139@10,seq8258@4,0.9636363636363635
seq3139@10,seq8614@12,0.9272727272727272
seq3139@10,seq18788@4,0.6242424242424242
seq3139@10,seq340@131,0.9272727272727272
seq3139@10,seq1878@24,0.9878787878787878
seq3139@10,seq2432@8,0.9878787878787878
seq3139@10,seq4024@4,0.6484848484848483
seq9785@12,naive,0.9515151515151514
seq9785@12,seq997@4,0.6484848484848483
seq9785@12,seq10542@8,0.9878787878787878
seq9785@12,seq10631@9,0.9878787878787878
seq9785@12,seq12823@5,0.9999999999999999
seq9785@12,seq2703@7,0.9878787878787878
seq9785@12,seq5118@13,0.6484848484848483
seq9785@12,seq6355@32,0.9999999999999999
seq9785@12,seq581@9,0.9757575757575757
seq9785@12,seq876@29,0.9878787878787878
seq9785@12,seq2948@8,0.9878787878787878
seq9785@12,seq883@32,0.9878787878787878
seq9785@12,seq3216@7,0.9878787878787878
seq9785@12,seq2425@10,0.9878787878787878
seq9785@12,seq387@21,0.7333333333333332
seq9785@12,seq1882@7,0.9757575757575757
seq9785@12,seq648@7,0.9878787878787878
seq9785@12,seq1455@25,0.9757575757575757
seq9785@12,seq103@72,0.9878787878787878
seq9785@12,seq696@51,0.9757575757575757
seq9785@12,seq8992@44,0.6484848484848483
seq9785@12,seq3311@22,0.6606060606060605
seq9785@12,seq2110@21,0.9878787878787878
seq9785@12,seq5311@17,0.9878787878787878
seq9785@12,seq3430@16,0.9999999999999999
seq9785@12,seq1817@15,0.9757575757575757
seq9785@12,seq717@11,0.9878787878787878
seq9785@12,seq209@10,0.9878787878787878
seq9785@12,seq2243@10,0.9878787878787878
seq9785@12,seq17535@5,0.6484848484848483
seq9785@12,seq35708@5,0.9999999999999999
seq9785@12,seq12890@9,0.9515151515151514
seq9785@12,seq2@15214,0.9636363636363635
seq9785@12,seq190@254,0.9878787878787878
seq9785@12,seq313@187,0.9878787878787878
seq9785@12,seq4295@9,0.9878787878787878
seq9785@12,seq2604@4,0.9999999999999999
seq9785@12,seq8258@4,0.9878787878787878
seq9785@12,seq8614@12,0.9999999999999999
seq9785@12,seq18788@4,0.6484848484848483
seq9785@12,seq340@131,0.9999999999999999
seq9785@12,seq1878@24,0.9636363636363635
seq9785@12,seq2432@8,0.9636363636363635
seq9785@12,seq4024@4,0.6242424242424242
naive,seq997@4,0.7333333333333332
naive,seq10542@8,0.9636363636363635
naive,seq10631@9,0.9757575757575757
naive,seq12823@5,0.9515151515151514
naive,seq2703@7,0.9757575757575757
naive,seq5118@13,0.7333333333333332
naive,seq6355@32,0.9515151515151514
naive,seq581@9,0.9878787878787878
naive,seq876@29,0.9757575757575757
naive,seq2948@8,0.9757575757575757
naive,seq883@32,0.9757575757575757
naive,seq3216@7,0.9757575757575757
naive,seq2425@10,0.9757575757575757
naive,seq387@21,0.8060606060606059
naive,seq1882@7,0.9878787878787878
naive,seq648@7,0.9757575757575757
naive,seq1455@25,0.9878787878787878
naive,seq103@72,0.9393939393939393
naive,seq696@51,0.9878787878787878
naive,seq8992@44,0.7333333333333332
naive,seq3311@22,0.709090909090909
naive,seq2110@21,0.9757575757575757
naive,seq5311@17,0.9757575757575757
naive,seq3430@16,0.9515151515151514
naive,seq1817@15,0.9878787878787878
naive,seq717@11,0.9757575757575757
naive,seq209@10,0.9757575757575757
naive,seq2243@10,0.9636363636363635
naive,seq17535@5,0.7333333333333332
naive,seq35708@5,0.9515151515151514
naive,seq12890@9,0.9757575757575757
naive,seq2@15214,0.9515151515151514
naive,seq190@254,0.9757575757575757
naive,seq313@187,0.9636363636363635
naive,seq4295@9,0.9757575757575757
naive,seq2604@4,0.9515151515151514
naive,seq8258@4,0.9757575757575757
naive,seq8614@12,0.9515151515151514
naive,seq18788@4,0.7333333333333332
naive,seq340@131,0.9515151515151514
naive,seq1878@24,0.9878787878787878
naive,seq2432@8,0.9878787878787878
naive,seq4024@4,0.7454545454545454
seq997@4,seq10542@8,0.7333333333333332
seq997@4,seq10631@9,0.6606060606060605
seq997@4,seq12823@5,0.6484848484848483
seq997@4,seq2703@7,0.6606060606060605
seq997@4,seq5118@13,0.9999999999999999
seq997@4,seq6355@32,0.6484848484848483
seq997@4,seq581@9,0.7454545454545454
seq997@4,seq876@29,0.6606060606060605
seq997@4,seq2948@8,0.6606060606060605
seq997@4,seq883@32,0.6606060606060605
seq997@4,seq3216@7,0.6606060606060605
seq997@4,seq2425@10,0.6606060606060605
seq997@4,seq387@21,0.9878787878787878
seq997@4,seq1882@7,0.7454545454545454
seq997@4,seq648@7,0.6606060606060605
seq997@4,seq1455@25,0.7454545454545454
seq997@4,seq103@72,0.6242424242424242
seq997@4,seq696@51,0.7454545454545454
seq997@4,seq8992@44,0.9999999999999999
seq997@4,seq3311@22,0.9878787878787878
seq997@4,seq2110@21,0.6606060606060605
seq997@4,seq5311@17,0.6606060606060605
seq997@4,seq3430@16,0.6484848484848483
seq997@4,seq1817@15,0.7454545454545454
seq997@4,seq717@11,0.6606060606060605
seq997@4,seq209@10,0.6606060606060605
seq997@4,seq2243@10,0.7333333333333332
seq997@4,seq17535@5,0.9999999999999999
seq997@4,seq35708@5,0.6484848484848483
seq997@4,seq12890@9,0.8181818181818182
seq997@4,seq2@15214,0.8060606060606059
seq997@4,seq190@254,0.6606060606060605
seq997@4,seq313@187,0.7333333333333332
seq997@4,seq4295@9,0.6606060606060605
seq997@4,seq2604@4,0.6484848484848483
seq997@4,seq8258@4,0.6606060606060605
seq997@4,seq8614@12,0.6484848484848483
seq997@4,seq18788@4,0.9999999999999999
seq997@4,seq340@131,0.6484848484848483
seq997@4,seq1878@24,0.6484848484848483
seq997@4,seq2432@8,0.6484848484848483
seq997@4,seq4024@4,0.9878787878787878
seq10542@8,seq10631@9,0.9757575757575757
seq10542@8,seq12823@5,0.9878787878787878
seq10542@8,seq2703@7,0.9757575757575757
seq10542@8,seq5118@13,0.7333333333333332
seq10542@8,seq6355@32,0.9878787878787878
seq10542@8,seq581@9,0.9878787878787878
seq10542@8,seq876@29,0.9757575757575757
seq10542@8,seq2948@8,0.9757575757575757
seq10542@8,seq883@32,0.9757575757575757
seq10542@8,seq3216@7,0.9757575757575757
seq10542@8,seq2425@10,0.9757575757575757
seq10542@8,seq387@21,0.8060606060606059
seq10542@8,seq1882@7,0.9878787878787878
seq10542@8,seq648@7,0.9757575757575757
seq10542@8,seq1455@25,0.9878787878787878
seq10542@8,seq103@72,0.9757575757575757
seq10542@8,seq696@51,0.9878787878787878
seq10542@8,seq8992@44,0.7333333333333332
seq10542@8,seq3311@22,0.7454545454545454
seq10542@8,seq2110@21,0.9757575757575757
seq10542@8,seq5311@17,0.9757575757575757
seq10542@8,seq3430@16,0.9878787878787878
seq10542@8,seq1817@15,0.9878787878787878
seq10542@8,seq717@11,0.9757575757575757
seq10542@8,seq209@10,0.9757575757575757
seq10542@8,seq2243@10,0.9999999999999999
seq10542@8,seq17535@5,0.7333333333333332
seq10542@8,seq35708@5,0.9878787878787878
seq10542@8,seq12890@9,0.9757575757575757
seq10542@8,seq2@15214,0.9878787878787878
seq10542@8,seq190@254,0.9757575757575757
seq10542@8,seq313@187,0.9999999999999999
seq10542@8,seq4295@9,0.9757575757575757
seq10542@8,seq2604@4,0.9878787878787878
seq10542@8,seq8258@4,0.9757575757575757
seq10542@8,seq8614@12,0.9878787878787878
seq10542@8,seq18788@4,0.7333333333333332
seq10542@8,seq340@131,0.9878787878787878
