Protein1,Protein2,SpearmanSimilarity
seq3928@6,seq2743@2,0.9878787878787878
seq3928@6,seq202@11,0.9878787878787878
seq3928@6,seq3458@3,0.9878787878787878
seq3928@6,seq10316@2,0.9878787878787878
seq3928@6,seq5939@8,0.9878787878787878
seq3928@6,seq2018@11,0.9878787878787878
seq3928@6,seq1983@28,0.9878787878787878
seq3928@6,seq1405@2,0.9878787878787878
seq3928@6,seq7070@9,0.9878787878787878
seq3928@6,seq4753@4,0.9878787878787878
seq3928@6,seq2218@7,0.9878787878787878
seq3928@6,seq9899@5,0.9878787878787878
seq3928@6,seq31@4,0.9878787878787878
seq3928@6,naive,0.9878787878787878
seq3928@6,seq1110@2,0.9878787878787878
seq3928@6,seq729@14,0.9878787878787878
seq3928@6,seq2731@2,0.9878787878787878
seq3928@6,seq712@18,0.9878787878787878
seq3928@6,seq7645@2,0.9878787878787878
seq3928@6,seq6752@2,0.9636363636363635
seq3928@6,seq10351@2,0.9878787878787878
seq3928@6,seq11273@3,0.9878787878787878
seq3928@6,seq2226@7,0.9878787878787878
seq3928@6,seq4941@4,0.9878787878787878
seq3928@6,seq23@13,0.9878787878787878
seq3928@6,seq2879@10,0.9878787878787878
seq3928@6,seq424@8,0.9878787878787878
seq3928@6,seq1431@8,0.9878787878787878
seq3928@6,seq3812@7,0.9878787878787878
seq3928@6,seq7639@6,0.9878787878787878
seq3928@6,seq1126@5,0.9878787878787878
seq3928@6,seq13233@5,0.9878787878787878
seq3928@6,seq4652@4,0.9878787878787878
seq3928@6,seq216@3,0.9878787878787878
seq3928@6,seq5536@3,0.9878787878787878
seq3928@6,seq5626@3,0.9878787878787878
seq3928@6,seq10503@3,0.9878787878787878
seq3928@6,seq9455@2,0.9878787878787878
seq3928@6,seq13780@2,0.9878787878787878
seq3928@6,seq16061@2,0.9636363636363635
seq3928@6,seq17496@2,0.9878787878787878
seq3928@6,seq36@6270,0.9636363636363635
seq3928@6,seq11259@3,0.9636363636363635
seq3928@6,seq3119@4,0.9878787878787878
seq3928@6,seq6429@8,0.9878787878787878
seq3928@6,seq4916@5,0.9878787878787878
seq3928@6,seq6329@2,0.9878787878787878
seq3928@6,seq2028@5,0.9878787878787878
seq3928@6,seq6419@9,0.9878787878787878
seq3928@6,seq2238@2,0.9878787878787878
seq3928@6,seq4089@6,0.9878787878787878
seq3928@6,seq15899@2,0.9878787878787878
seq3928@6,seq400@13,0.9878787878787878
seq3928@6,seq9618@2,0.9878787878787878
seq3928@6,seq209@25,0.9878787878787878
seq3928@6,seq184@16,0.9878787878787878
seq3928@6,seq3140@12,0.9878787878787878
seq3928@6,seq9728@11,0.9878787878787878
seq3928@6,seq142@9,0.9878787878787878
seq3928@6,seq465@8,0.9878787878787878
seq3928@6,seq60@6,0.9878787878787878
seq3928@6,seq4551@6,0.9878787878787878
seq3928@6,seq2804@6,0.9878787878787878
seq3928@6,seq4720@6,0.9878787878787878
seq3928@6,seq2444@3,0.9878787878787878
seq3928@6,seq4555@2,0.9878787878787878
seq3928@6,seq18799@2,0.9878787878787878
seq3928@6,seq6@10879,0.9878787878787878
seq2743@2,seq202@11,0.9999999999999999
seq2743@2,seq3458@3,0.9999999999999999
seq2743@2,seq10316@2,0.9999999999999999
seq2743@2,seq5939@8,0.9999999999999999
seq2743@2,seq2018@11,0.9999999999999999
seq2743@2,seq1983@28,0.9999999999999999
seq2743@2,seq1405@2,0.9999999999999999
seq2743@2,seq7070@9,0.9999999999999999
seq2743@2,seq4753@4,0.9999999999999999
seq2743@2,seq2218@7,0.9999999999999999
seq2743@2,seq9899@5,0.9999999999999999
seq2743@2,seq31@4,0.9999999999999999
seq2743@2,naive,0.9999999999999999
seq2743@2,seq1110@2,0.9999999999999999
seq2743@2,seq729@14,0.9999999999999999
seq2743@2,seq2731@2,0.9999999999999999
seq2743@2,seq712@18,0.9999999999999999
seq2743@2,seq7645@2,0.9999999999999999
seq2743@2,seq6752@2,0.9878787878787878
seq2743@2,seq10351@2,0.9999999999999999
seq2743@2,seq11273@3,0.9999999999999999
seq2743@2,seq2226@7,0.9999999999999999
seq2743@2,seq4941@4,0.9999999999999999
seq2743@2,seq23@13,0.9999999999999999
seq2743@2,seq2879@10,0.9999999999999999
seq2743@2,seq424@8,0.9999999999999999
seq2743@2,seq1431@8,0.9999999999999999
seq2743@2,seq3812@7,0.9999999999999999
seq2743@2,seq7639@6,0.9999999999999999
seq2743@2,seq1126@5,0.9999999999999999
seq2743@2,seq13233@5,0.9999999999999999
seq2743@2,seq4652@4,0.9999999999999999
seq2743@2,seq216@3,0.9999999999999999
seq2743@2,seq5536@3,0.9999999999999999
seq2743@2,seq5626@3,0.9999999999999999
seq2743@2,seq10503@3,0.9999999999999999
seq2743@2,seq9455@2,0.9999999999999999
seq2743@2,seq13780@2,0.9999999999999999
seq2743@2,seq16061@2,0.9878787878787878
seq2743@2,seq17496@2,0.9999999999999999
seq2743@2,seq36@6270,0.9878787878787878
seq2743@2,seq11259@3,0.9878787878787878
seq2743@2,seq3119@4,0.9999999999999999
seq2743@2,seq6429@8,0.9999999999999999
seq2743@2,seq4916@5,0.9999999999999999
seq2743@2,seq6329@2,0.9999999999999999
seq2743@2,seq2028@5,0.9999999999999999
seq2743@2,seq6419@9,0.9999999999999999
seq2743@2,seq2238@2,0.9999999999999999
seq2743@2,seq4089@6,0.9999999999999999
seq2743@2,seq15899@2,0.9999999999999999
seq2743@2,seq400@13,0.9999999999999999
seq2743@2,seq9618@2,0.9999999999999999
seq2743@2,seq209@25,0.9999999999999999
seq2743@2,seq184@16,0.9999999999999999
seq2743@2,seq3140@12,0.9999999999999999
seq2743@2,seq9728@11,0.9999999999999999
seq2743@2,seq142@9,0.9999999999999999
seq2743@2,seq465@8,0.9999999999999999
seq2743@2,seq60@6,0.9999999999999999
