Protein1,Protein2,SpearmanSimilarity
seq1418@324,seq5109@17,0.9999999999999999
seq1418@324,seq7605@118,0.9999999999999999
seq1418@324,seq6428@363,0.9999999999999999
seq1418@324,seq869@10,0.9999999999999999
seq1418@324,seq5982@195,0.9999999999999999
seq1418@324,naive,0.9999999999999999
seq5109@17,seq7605@118,0.9999999999999999
seq5109@17,seq6428@363,0.9999999999999999
seq5109@17,seq869@10,0.9999999999999999
seq5109@17,seq5982@195,0.9999999999999999
seq5109@17,naive,0.9999999999999999
seq7605@118,seq6428@363,0.9999999999999999
seq7605@118,seq869@10,0.9999999999999999
seq7605@118,seq5982@195,0.9999999999999999
seq7605@118,naive,0.9999999999999999
seq6428@363,seq869@10,0.9999999999999999
seq6428@363,seq5982@195,0.9999999999999999
seq6428@363,naive,0.9999999999999999
seq869@10,seq5982@195,0.9999999999999999
seq869@10,naive,0.9999999999999999
seq5982@195,naive,0.9999999999999999
