Protein1,Protein2,SpearmanSimilarity
seq133@7,seq2413@33,0.9999999999999999
seq133@7,seq275@32,0.9999999999999999
seq133@7,seq766@50,0.9999999999999999
seq133@7,seq5588@10,0.9999999999999999
seq133@7,seq1639@36,0.9999999999999999
seq133@7,seq8876@3,0.9999999999999999
seq133@7,seq4214@25,0.9999999999999999
seq133@7,seq907@20,0.9999999999999999
seq133@7,seq593@3,0.9999999999999999
seq133@7,seq3665@14,0.9999999999999999
seq133@7,seq548@3,0.9999999999999999
seq133@7,seq375@18,0.9999999999999999
seq133@7,seq3238@3,0.9999999999999999
seq133@7,seq1051@19,0.9999999999999999
seq133@7,seq35@46,0.9999999999999999
seq133@7,seq1874@32,0.9999999999999999
seq133@7,seq1642@32,0.9878787878787878
seq133@7,seq226@28,0.9999999999999999
seq133@7,seq5508@27,0.9999999999999999
seq133@7,seq1423@15,0.9999999999999999
seq133@7,seq2792@13,0.9878787878787878
seq133@7,seq3791@11,0.9999999999999999
seq133@7,seq15663@4,0.9999999999999999
seq133@7,seq5225@3,0.9999999999999999
seq133@7,seq6437@3,0.9999999999999999
seq133@7,seq15153@3,0.9999999999999999
seq133@7,seq16@17555,0.9999999999999999
seq133@7,seq5780@14,0.9999999999999999
seq133@7,seq311@24,0.9999999999999999
seq133@7,seq9057@3,0.9999999999999999
seq133@7,seq6796@3,0.9999999999999999
seq133@7,seq4738@12,0.9878787878787878
seq133@7,seq5042@8,0.9999999999999999
seq133@7,seq7717@10,0.9999999999999999
seq133@7,seq3166@4,0.9999999999999999
seq133@7,seq1691@4,0.9999999999999999
seq133@7,seq827@16,0.9999999999999999
seq133@7,seq1296@14,0.9999999999999999
seq133@7,seq3611@11,0.9999999999999999
seq133@7,seq10476@9,0.9999999999999999
seq133@7,seq4500@6,0.9999999999999999
seq133@7,seq2371@5,0.9999999999999999
seq133@7,seq194@4,0.9999999999999999
seq133@7,seq6659@4,0.9999999999999999
seq133@7,seq16730@4,0.9999999999999999
seq133@7,seq2377@3,0.9999999999999999
seq133@7,seq5240@3,0.9999999999999999
seq133@7,seq8381@3,0.9999999999999999
seq133@7,seq14705@3,0.9999999999999999
seq133@7,naive,0.9999999999999999
seq133@7,seq7@5986,0.9999999999999999
seq2413@33,seq275@32,0.9999999999999999
seq2413@33,seq766@50,0.9999999999999999
seq2413@33,seq5588@10,0.9999999999999999
