Protein1,Protein2,SpearmanSimilarity
naive,seq1523@14,0.9878787878787878
naive,seq1123@9,0.9878787878787878
naive,seq10803@10,0.9878787878787878
naive,seq2033@20,0.9999999999999999
naive,seq16563@4,0.9878787878787878
naive,seq4116@5,0.9999999999999999
naive,seq1265@69,0.9999999999999999
naive,seq33758@4,0.9999999999999999
naive,seq18213@5,0.9999999999999999
naive,seq9055@7,0.9999999999999999
naive,seq418@53,0.9999999999999999
naive,seq2013@27,0.9999999999999999
naive,seq2989@39,0.9999999999999999
naive,seq347@13,0.9878787878787878
naive,seq85@61,0.9999999999999999
naive,seq3423@7,0.9999999999999999
naive,seq603@43,0.9999999999999999
naive,seq5158@7,0.9999999999999999
naive,seq154@53,0.9999999999999999
naive,seq12809@7,0.9999999999999999
naive,seq4719@22,0.9999999999999999
naive,seq740@6,0.9999999999999999
naive,seq936@42,0.9757575757575757
naive,seq3516@6,0.9878787878787878
naive,seq1958@50,0.9999999999999999
naive,seq14691@6,0.9999999999999999
naive,seq4065@25,0.9999999999999999
naive,seq6624@4,0.9999999999999999
naive,seq5485@6,0.9999999999999999
naive,seq8082@4,0.9999999999999999
naive,seq19553@8,0.9999999999999999
naive,seq995@65,0.9999999999999999
naive,seq8106@4,0.9999999999999999
naive,seq7803@4,0.9999999999999999
naive,seq204@32,0.9999999999999999
naive,seq10482@4,0.9999999999999999
naive,seq2374@15,0.9878787878787878
naive,seq15089@4,0.9999999999999999
naive,seq2666@16,0.9999999999999999
naive,seq876@30,0.9999999999999999
naive,seq15534@4,0.9999999999999999
naive,seq400@59,0.9999999999999999
naive,seq15808@4,0.9999999999999999
naive,seq1590@45,0.9999999999999999
naive,seq115@33,0.9999999999999999
naive,seq10314@4,0.9999999999999999
naive,seq270@83,0.9878787878787878
naive,seq32@67,0.9999999999999999
naive,seq192@45,0.9878787878787878
naive,seq617@40,0.9999999999999999
naive,seq5271@30,0.9999999999999999
naive,seq168@25,0.9999999999999999
naive,seq88@21,0.9999999999999999
naive,seq4897@16,0.9999999999999999
naive,seq5583@14,0.9999999999999999
naive,seq5895@13,0.9999999999999999
naive,seq11696@11,0.9999999999999999
naive,seq5988@9,0.9999999999999999
naive,seq8271@8,0.9999999999999999
naive,seq2896@8,0.9999999999999999
naive,seq2604@7,0.9999999999999999
naive,seq3276@7,0.9999999999999999
naive,seq4917@7,0.9999999999999999
naive,seq2137@6,0.9999999999999999
naive,seq4@32012,0.9999999999999999
naive,seq6302@15,0.9999999999999999
seq1523@14,seq1123@9,0.9757575757575757
seq1523@14,seq10803@10,0.9757575757575757
seq1523@14,seq2033@20,0.9878787878787878
seq1523@14,seq16563@4,0.9757575757575757
seq1523@14,seq4116@5,0.9878787878787878
seq1523@14,seq1265@69,0.9878787878787878
seq1523@14,seq33758@4,0.9878787878787878
seq1523@14,seq18213@5,0.9878787878787878
seq1523@14,seq9055@7,0.9878787878787878
seq1523@14,seq418@53,0.9878787878787878
seq1523@14,seq2013@27,0.9878787878787878
seq1523@14,seq2989@39,0.9878787878787878
seq1523@14,seq347@13,0.9757575757575757
seq1523@14,seq85@61,0.9878787878787878
seq1523@14,seq3423@7,0.9878787878787878
seq1523@14,seq603@43,0.9878787878787878
seq1523@14,seq5158@7,0.9878787878787878
seq1523@14,seq154@53,0.9878787878787878
seq1523@14,seq12809@7,0.9878787878787878
seq1523@14,seq4719@22,0.9878787878787878
seq1523@14,seq740@6,0.9878787878787878
seq1523@14,seq936@42,0.9878787878787878
seq1523@14,seq3516@6,0.9757575757575757
seq1523@14,seq1958@50,0.9878787878787878
seq1523@14,seq14691@6,0.9878787878787878
seq1523@14,seq4065@25,0.9878787878787878
seq1523@14,seq6624@4,0.9878787878787878
seq1523@14,seq5485@6,0.9878787878787878
seq1523@14,seq8082@4,0.9878787878787878
seq1523@14,seq19553@8,0.9878787878787878
seq1523@14,seq995@65,0.9878787878787878
seq1523@14,seq8106@4,0.9878787878787878
seq1523@14,seq7803@4,0.9878787878787878
seq1523@14,seq204@32,0.9878787878787878
seq1523@14,seq10482@4,0.9878787878787878
seq1523@14,seq2374@15,0.9757575757575757
seq1523@14,seq15089@4,0.9878787878787878
seq1523@14,seq2666@16,0.9878787878787878
seq1523@14,seq876@30,0.9878787878787878
seq1523@14,seq15534@4,0.9878787878787878
seq1523@14,seq400@59,0.9878787878787878
seq1523@14,seq15808@4,0.9878787878787878
seq1523@14,seq1590@45,0.9878787878787878
seq1523@14,seq115@33,0.9878787878787878
